name-of-company,name-of-job,location,salary,tech
"Sancorp Consulting, LLC4.0",Senior Data Analyst,"Arlington, VA",$120K (Employer est.),Python
DCI Solutions3.6,Elastic Engineer (-),"Bethesda, MD",$140K - $180K (Employer est.),Python
Que Technology Group4.7,VISTA Software Engineer - Level 3 (Dept 11) 7973,"Fort Meade, MD",$64K - $98K (Glassdoor est.),Python
Blue Ridge Envisioneering,DSP Engineer,"Chantilly, VA",$125K (Employer est.),Python
JCS Solutions LLC4.2,Senior Enterprise Architect,"Washington, DC",$117K - $172K (Glassdoor est.),Python
,,,,Python
Protected Harbor,Solutions Architect,"Orangeburg, NY",$85K - $110K (Employer est.),Python
Nippon Life Benefits,Development Operations Engineer,"New York, NY",$95K - $126K (Employer est.),Python
JPMorgan Chase & Co4.0,AWS Software Engineer III - ETL & Python,"Jersey City, NJ",$128K - $180K (Employer est.),Python
Lockard & Wechsler Direct,Full Stack Developer,"Irvington, NY",$110K - $130K (Employer est.),Python
Tibra Global Services Pty Ltd,Quant Trader Developer (Graduate Role) - Relocate to Australia,United States,$150K (Employer est.),Python
"Interscripts, Inc.",Senior Interface Analyst (Sunrise),"Brooklyn, NY",,Python
Open Road Media3.5,Junior Data Engineer,"New York, NY",$55K - $75K (Employer est.),Python
The Software Institute3.5,Senior Observability Engineer,"New York, NY",$100K - $180K (Employer est.),Python
Tradeweb Markets LLC3.9,Head of Data Management,"New York, NY",$150K - $200K (Employer est.),Python
fionics (HIRECLOUT)4.6,Junior Quant Researcher,"New York, NY",$150K - $300K (Employer est.),Python
Euclid innovations4.4,Python Data Engineer,"Jersey City, NJ",$65.00 - $70.00 Per Hour (Employer est.),Python
LinkIt!,Technical Account Manager,Manhattan,$75K (Employer est.),Python
Cyndx4.2,Analytics Engineer,United States,$75K - $110K (Employer est.),Python
Clair2.1,Data Analyst,United States,$95K - $105K (Employer est.),Python
AIG3.7,Actuarial Analyst,"New York, NY",$71K - $89K (Employer est.),Python
DONIA LLC3.5,Business Analyst,"Long Island City, NY",$45.00 - $60.00 Per Hour (Employer est.),Python
Comcast3.7,"Lead Database Administrator (MySQL , Linux, AWS, Python/Golang Required) - Hybrid",United States,$146K - $218K (Employer est.),Python
"Discovery Solutions, Inc.5.0",Application Offensive Security Consultant,"Jersey City, NJ",$47.18 - $56.82 Per Hour (Employer est.),Python
New York Botanical Garden3.6,Landscape Visualization Artist & Designer,"Bronx, NY",$68K - $75K (Employer est.),Python
Publicis Media3.8,BI Developer,United States,$107K - $168K (Employer est.),Python
"Transcore, LP3.2",Project Manager,"Union, NJ",$84K - $136K (Glassdoor est.),Python
Okaya Corp3.8,Senior Python Developer,"Jersey City, NJ",$97K - $156K (Glassdoor est.),Python
Convisorit1.0,Python Developer,"Jersey City, NJ",$89K - $108K (Employer est.),Python
Locks Global Staffing LLC,Python Developer,"New York, NY",$60.00 - $75.00 Per Hour (Employer est.),Python
