,company,job-title,level
512,Pocket FM,"Data Scientist – Recommendation, Content Science",Mid-Senior level
513,Fractal,Healthcare Data Scientist,Mid-Senior level
514,Public Consulting Group,Health Data Scientist 1,Entry level
515,Gusto,"Senior Data Scientist, Product Analytics",Mid-Senior level
516,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
517,Saransh Inc,AI/ML Engineer-Data Scientist,Mid-Senior level
518,Cordial,"Machine Learning Engineer, Predictive",Entry level
519,Arthur,Machine Learning Engineer,Mid-Senior level
520,Marchex,Data Scientist,Entry level
521,CVS Health,Data Scientist,Entry level
522,Konfío,Machine Learning Engineer,Not Applicable
523,iLink Digital,Data Scientist,Entry level
524,Platform Staffing Group,Data Scientist - Entry Level,Entry level
525,Saransh Inc,Data Scientist,Mid-Senior level
526,PROLIM Corporation,Data Scientist 2,Entry level
527,LeanDNA,Machine Learning Engineer,Mid-Senior level
528,"Aperio Global, LLC",Data Scientist,Entry level
529,Trusaic,Data Scientist I,Associate
530,Vibrant Emotional Health,Data Scientist I,Entry level
531,Netflix,Data Scientist (L5) - Identity Algorithms,Not Applicable
532,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
533,TikTok,Data Scientist,Not Applicable
534,Cititec Talent,Data Scientist,Mid-Senior level
535,Wheels Up,Data Scientist,Associate
536,Pocket FM,"Data Scientist – Recommendation, Content Science",Mid-Senior level
537,Thumbtack,"Data Scientist, Business Analytics",Not Applicable
538,Erie Home,Data Scientist,Associate
539,Altamira Technologies Corporation,Data Scientist,Mid-Senior level
540,KNS IT GROUP,Clinical Research Data Scientist,Mid-Senior level
541,Vibrant Emotional Health,Data Scientist I,Entry level
542,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
543,Saransh Inc,AI/ML Engineer-Data Scientist,Mid-Senior level
544,Cordial,"Machine Learning Engineer, Predictive",Entry level
545,Konfío,Machine Learning Engineer,Not Applicable
546,Cloud BC Labs,Data Scientist with AI/ML,Mid-Senior level
547,Rockwell Automation,Machine Learning Engineer,Associate
548,Walmart,"Senior, Data Scientist - Omnichannel Supply Chain Strategy",Mid-Senior level
549,Parin Technologies,Data Scientist,Mid-Senior level
550,LeanDNA,Machine Learning Engineer,Mid-Senior level
551,Towne Park,Data Scientist,Mid-Senior level
552,Stage 4 Solutions,Data Scientist (Remote),Entry level
553,TikTok,Data Scientist,Not Applicable
554,Hunter Bond,"Data Scientist - Up to $150,000 + Huge Bonus + Package",Mid-Senior level
555,Cititec Talent,Data Scientist,Mid-Senior level
556,minware,Junior Front End Engineer,Entry level
557,Cordial,"Machine Learning Engineer, Predictive",Entry level
558,Wheels Up,Data Scientist,Associate
559,Thumbtack,"Data Scientist, Business Analytics",Not Applicable
560,Platform Staffing Group,Data Scientist - Entry Level,Entry level
561,Parin Technologies,Data Scientist,Mid-Senior level
562,"Acadia Technologies, Inc.",Data Scientist,Entry level
563,Lockheed Martin,Data Scientist,Entry level
564,Hugging Face,"Machine Learning Engineer Internship, Data Processing - US Remote",Internship
565,SynergisticIT,Entry Level Data Scientist(Remote),Entry level
566,PROLIM Corporation,Data Scientist 2,Entry level
567,Salesforce,"Associate, Decision Scientist (New Grad)",Not Applicable
568,Google,"Business Data Scientist, Ads Marketing Analytics",Not Applicable
569,Waymo,Senior Data Scientist,Mid-Senior level
570,Airtable,Data Scientist,Not Applicable
571,Azurity Pharmaceuticals,Data Scientist,Entry level
572,Intuit,"Senior Data Scientist, Marketing Analytics",Mid-Senior level
573,Guidehouse,Data Scientist,Mid-Senior level
574,Walmart,"Senior, Data Scientist - Experimentation",Mid-Senior level
575,Tandym Group,Data Scientist / Data Analyst,Entry level
576,Microsoft,"Data Scientist II - Insights, Data Engineering & Analytics Group (IDEAs)",Not Applicable
577,PepsiCo,Senior Data Scientist AI & Machine Learning - Manufacturing Systems,Mid-Senior level
578,CVS Health,Data Scientist,Entry level
579,Konfío,Machine Learning Engineer,Not Applicable
580,Rockwell Automation,Machine Learning Engineer,Associate
581,Cloud BC Labs,Data Scientist with AI/ML,Mid-Senior level
582,Rockwell Automation,Machine Learning Engineer,Associate
583,Hinge Health,"Senior Data Scientist, Growth",Mid-Senior level
584,Intuit,Staff Data Scientist,Mid-Senior level
585,Fractal,Senior Data Scientist (Econometrics),Mid-Senior level
586,Gusto,"Senior Data Scientist, Product Analytics",Mid-Senior level
587,CVS Health,Data Scientist,Entry level
588,Cloud BC Labs,Data Scientist with AI/ML,Mid-Senior level
589,Stellar Professionals,Data Scientist,Entry level
590,iLink Digital,Data Scientist,Entry level
591,CVS Health,Data Scientist,Entry level
592,Starbucks,data scientist sr,Not Applicable
593,Mayvue Solutions,Data Scientist,Mid-Senior level
594,Patreon,Data Scientist,Mid-Senior level
595,Saransh Inc,Data Scientist,Mid-Senior level
596,Saransh Inc,Data Scientist,Mid-Senior level
597,Workforce Connections,Data Scientist,Mid-Senior level
598,Hugging Face,"Machine Learning Engineer Internship, Data Processing - US Remote",Internship
599,Apexon,Data Scientist,Entry level
600,Lockheed Martin,"Data Scientist, Sr. (Full time remote)",Mid-Senior level
601,PROLIM Corporation,Data Scientist 2,Entry level
602,Stellar Professionals,Data Scientist//Pay rate: $43.35/hr,Entry level
603,Pendulum,Machine Learning Engineer,Entry level
604,Acclaim Technical Services,"Data Scientist, Level 2 (2023-0232)",Mid-Senior level
605,Platform Staffing Group,Data Scientist - Entry Level,Entry level
606,Parin Technologies,Data Scientist,Mid-Senior level
607,USAJOBS,Artificial Intelligence Specialist,Entry level
608,"Acadia Technologies, Inc.",Data Scientist,Entry level
609,Mayvue Solutions,Data Scientist,Mid-Senior level
610,Lockheed Martin,Data Scientist,Entry level
611,Saransh Inc,Data Scientist,Mid-Senior level
612,Workforce Connections,Data Scientist,Mid-Senior level
613,Apexon,Data Scientist,Entry level
614,Upwork,Product/Data Scientists,Entry level
615,Steneral Consulting,Remote Work - Need Data Scientist,Entry level
616,LeanDNA,Machine Learning Engineer,Mid-Senior level
617,UX Hires,Data Scientist- Remote (EU Time Zone),Entry level
618,KNS IT GROUP,Clinical Research Data Scientist,Mid-Senior level
619,Trusaic,Data Scientist I,Associate
620,Vibrant Emotional Health,Data Scientist I,Entry level
621,Netflix,Data Scientist (L5) - Identity Algorithms,Not Applicable
622,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
623,TikTok,Data Scientist,Not Applicable
624,Hunter Bond,"Data Scientist - Up to $150,000 + Huge Bonus + Package",Mid-Senior level
625,Cititec Talent,Data Scientist,Mid-Senior level
626,Saransh Inc,AI/ML Engineer-Data Scientist,Mid-Senior level
627,minware,Junior Front End Engineer,Entry level
628,Osmii ,Data Scientist,Mid-Senior level
629,Thumbtack,"Data Scientist, Business Analytics",Not Applicable
630,Tech Consulting,Junior Data Scientist,Entry level
631,Starbucks,data scientist sr,Not Applicable
632,Patreon,Data Scientist,Mid-Senior level
633,Saransh Inc,Data Scientist,Mid-Senior level
634,Workforce Connections,Data Scientist,Mid-Senior level
635,Hugging Face,"Machine Learning Engineer Internship, Data Processing - US Remote",Internship
636,Lockheed Martin,"Data Scientist, Sr. (Full time remote)",Mid-Senior level
637,PROLIM Corporation,Data Scientist 2,Entry level
638,Stellar Professionals,Data Scientist//Pay rate: $43.35/hr,Entry level
639,Pendulum,Machine Learning Engineer,Entry level
640,Constellation,Senior Data Scientist,Mid-Senior level
641,Acclaim Technical Services,"Data Scientist, Level 2 (2023-0232)",Mid-Senior level
642,Tava Partners,Machine Learning Engineer,Mid-Senior level
643,Wayve,Machine Learning Engineer,Entry level
644,Saransh Inc,AI/ML Engineer-Data Scientist,Mid-Senior level
645,Marchex,Data Scientist,Entry level
646,minware,Junior Front End Engineer,Entry level
647,Rockwell Automation,Machine Learning Engineer,Associate
648,minware,Junior Front End Engineer,Entry level
649,Cloud BC Labs,Data Scientist with AI/ML,Mid-Senior level
650,Fractal,Senior Data Scientist,Mid-Senior level
651,minware,Junior Front End Engineer,Entry level
652,Stellar Professionals,Data Scientist,Entry level
653,Anblicks,Data Scientist,Mid-Senior level
654,HustleWing - Side hustles for professionals,Data Scientist,Associate
655,Azurity Pharmaceuticals,Data Scientist,Entry level
656,UX Hires,Data Scientist- Remote (EU Time Zone),Entry level
657,"Stride, Inc.",Data Scientist (Virtual),Entry level
658,UST,Machine Learning Engineer,Mid-Senior level
659,"Consultant Specialists, Inc. (CSI)",Data Scientist,Mid-Senior level
660,Konfío,Machine Learning Engineer,Not Applicable
661,Expedia Group,Machine Learning Engineer,Associate
662,Boston Metal,R&D Data Scientist,Mid-Senior level
663,Pave,Senior Data Scientist,Mid-Senior level
664,Airtable,Data Scientist,Not Applicable
665,Pave,Senior Data Scientist,Mid-Senior level
666,Team Remotely Inc,Junior Data Scientist - US/Canada Residents Only,Entry level
667,AllSTEM Connections,Machine Learning Engineer,Associate
668,Radley James,Data Scientist,Mid-Senior level
669,"Neudesic, an IBM Company",Senior Data Scientist,Mid-Senior level
670,Vibrant Emotional Health,Data Scientist I,Entry level
671,Hunter Bond,"Data Scientist - Up to $150,000 + Huge Bonus + Package",Mid-Senior level
672,Osmii ,Data Scientist,Mid-Senior level
673,Solomon Page,Data Scientist,Associate
674,Altamira Technologies Corporation,Data Scientist,Mid-Senior level
675,LTIMindtree,Data Scientist,Mid-Senior level
676,Boston Metal,R&D Data Scientist,Mid-Senior level
677,"Stride, Inc.",Data Scientist (Virtual),Entry level
678,Konfío,Machine Learning Engineer,Not Applicable
679,Boston Metal,R&D Data Scientist,Mid-Senior level
680,Rapport Talents,Data Scientist (Utilities) |  Remote,Mid-Senior level
681,TikTok,Data Scientist,Not Applicable
682,Hunter Bond,"Data Scientist - Up to $150,000 + Huge Bonus + Package",Mid-Senior level
683,Cititec Talent,Data Scientist,Mid-Senior level
684,Pocket FM,"Data Scientist – Recommendation, Content Science",Mid-Senior level
685,Thumbtack,"Data Scientist, Business Analytics",Not Applicable
686,iPacket,Machine Learning Engineer,Full-Time
687,Solomon Page,Data Scientist,Associate
688,CVS Health,Data Scientist,Entry level
689,"InVitro Cell Research, LLC",Associate Data Scientist,Entry level
690,"Consultant Specialists, Inc. (CSI)",Data Scientist,Mid-Senior level
691,Boston Metal,R&D Data Scientist,Mid-Senior level
692,Boston Metal,R&D Data Scientist,Mid-Senior level
693,Altamira Technologies Corporation,Data Scientist,Mid-Senior level
694,Solomon Page,Data Scientist,Associate
695,CVS Health,Data Scientist,Entry level
696,"InVitro Cell Research, LLC",Associate Data Scientist,Entry level
697,DISYS,Data Scientist,Entry level
698,"Consultant Specialists, Inc. (CSI)",Data Scientist,Mid-Senior level
699,LTIMindtree,Data Scientist,Mid-Senior level
700,"Stride, Inc.",Data Scientist (Virtual),Entry level
701,Cognizant,Data Scientist ML,Mid-Senior level
702,Premier Group Recruitment,Data Scientist,Mid-Senior level
703,Ascendion,Machine Learning Engineer,Mid-Senior level
704,Patreon,Data Scientist,Mid-Senior level
705,Apexon,Data Scientist,Entry level
706,Hugging Face,"Machine Learning Engineer Internship, Data Processing - US Remote",Internship
707,SynergisticIT,Entry Level Data Scientist(Remote),Entry level
708,PROLIM Corporation,Data Scientist 2,Entry level
709,Stellar Professionals,Data Scientist//Pay rate: $43.35/hr,Entry level
710,Acclaim Technical Services,"Data Scientist, Level 2 (2023-0232)",Mid-Senior level
711,Wayve,Machine Learning Engineer,Entry level
712,Lockheed Martin,AI/ML Machine Learning Engineer - Early Career,Entry level
713,USAJOBS,DATA SCIENTIST,Entry level
714,Apexon,Data Scientist,Entry level
715,Upwork,Product/Data Scientists,Entry level
716,Kaedim,Machine Learning Engineer,Entry level
717,Apptad Inc.,AI/ML Engineer,Entry level
718,Tava Partners,Machine Learning Engineer,Mid-Senior level
719,Wayve,Machine Learning Engineer,Entry level
720,Lockheed Martin,Data Scientist - Level 2,Entry level
721,Constellation,Senior Data Scientist,Mid-Senior level
722,Lockheed Martin,AI/ML Machine Learning Engineer - Early Career,Entry level
723,Layer Health,Machine Learning Engineer,Full-Time
724,Replicate,Machine Learning Engineer,Entry level
725,Archetype Permanent Solutions,Data Scientist,Mid-Senior level
726,Solomon Page,Data Scientist,Associate
727,"InVitro Cell Research, LLC",Associate Data Scientist,Entry level
728,LTIMindtree,Data Scientist,Mid-Senior level
729,"Stride, Inc.",Data Scientist (Virtual),Entry level
730,Boston Metal,R&D Data Scientist,Mid-Senior level
731,"DMI (Digital Management, LLC)",Data Scientist,Entry level
732,Premier Group Recruitment,Data Scientist,Mid-Senior level
733,Cloud BC Labs,Data Scientist with AI/ML,Mid-Senior level
734,"Sunstate Equipment Co., LLC",Senior Software Engineer – Front End,Mid-Senior level
735,Tinder,"Associate Product Manager, Revenue",Associate
736,Atria Institute,"Product Manager, Member Experience",Mid-Senior level
737,Warner Bros. Games,Product Manager,Entry level
738,Warner Bros. Games,Product Manager,Entry level
739,Warner Bros. Games,Product Manager,Entry level
740,Talogy,Product Manager,Not Applicable
741,American Express,Resy Product Manager,Mid-Senior level
742,TikTok,"Product Manager, TikTok Shop Ads",Not Applicable
743,Autzu,Product Manager,Mid-Senior level
744,Motivo,Product Manager,Mid-Senior level
745,Xe.com,Associate Product Manager,Entry level
746,Warner Bros. Games,Product Manager,Entry level
747,Warner Bros. Games,Product Manager,Entry level
748,Netflix,"Product Manager, Content Data Platform",Not Applicable
749,Warner Bros. Games,Product Manager,Entry level
750,dunnhumby,Product Manager,Mid-Senior level
751,Insight Global,Product Manager,Mid-Senior level
752,Meta,Product Manager,Not Applicable
753,TikTok,Product Manager - TikTok Creative & Ecosystem,Not Applicable
754,Hebbia AI,Product Manager,Entry level
755,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
756,Warner Bros. Games,Product Manager,Entry level
757,Atria Institute,"Product Manager, Member Experience",Mid-Senior level
758,Motivo,Product Manager,Mid-Senior level
759,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
760,Rise25,Product Manager (Remote),Mid-Senior level
761,haku,Product Manager,Mid-Senior level
762,Scaler,Product Manager,Entry level
763,"Veridian Tech Solutions, Inc.",Product Manager-Remote,Mid-Senior level
764,TechInsights,Product Manager,Mid-Senior level
765,Gap Inc.,Product Manager,Entry level
766,SNIPEBRIDGE,Product Manager,Entry level
767,snipeHIRE,Product Manager,Mid-Senior level
768,CallRail,Product Manager,Entry level
769,Steneral Consulting,Product Manager,Mid-Senior level
770,"UrBench, LLC",Product Manager,Mid-Senior level
771,Board of Innovation,Product manager / Innovation consultant (NYC),Mid-Senior level
772,Hebbia AI,Product Manager,Entry level
773,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
774,Rise25,Product Manager (Remote),Mid-Senior level
775,Accroid Inc,Product Manager,Mid-Senior level
776,haku,Product Manager,Mid-Senior level
777,NimbleRx,Product Manager,Not Applicable
778,Steneral Consulting,Product Manager,Mid-Senior level
779,Scaler,Product Manager,Entry level
780,"Veridian Tech Solutions, Inc.",Product Manager-Remote,Mid-Senior level
781,Gap Inc.,Product Manager,Entry level
782,PSRTEK,Product Manager - Remote,Mid-Senior level
783,Harbor Compliance,Product Manager - REMOTE,Entry level
784,snipeHIRE,Product Manager,Mid-Senior level
785,Talogy,Product Manager,Not Applicable
786,American Express,Resy Product Manager,Mid-Senior level
787,Autzu,Product Manager,Mid-Senior level
788,Xe.com,Associate Product Manager,Entry level
789,Warner Bros. Games,Product Manager,Entry level
790,Warner Bros. Games,Product Manager,Entry level
791,Netflix,"Product Manager, Content Data Platform",Not Applicable
792,Warner Bros. Games,Product Manager,Entry level
793,dunnhumby,Product Manager,Mid-Senior level
794,Meta,Product Manager,Not Applicable
795,TikTok,Product Manager - TikTok Creative & Ecosystem,Not Applicable
796,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
797,HelloFresh,Associate Product Manager,Entry level
798,Experfy,Product Manager,Mid-Senior level
799,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
800,NimbleRx,Product Manager,Not Applicable
801,Steneral Consulting,Product Manager,Mid-Senior level
802,Steneral Consulting,Product Manager,Mid-Senior level
803,Belmont Lavan,Product Manager,Mid-Senior level
804,Clubhouse,💛 Product Manager,Not Applicable
805,CyberCoders,Product Manager - Oilfield Chemicals,Mid-Senior level
806,Accroid Inc,Product Manager,Mid-Senior level
807,Upwork,"Product Manager, Enterprise Solutions",Mid-Senior level
808,HP,Product Manager,Mid-Senior level
809,ePayPolicy,Product Manager,Mid-Senior level
810,SmartIPlace,Product Manager (Hybrid)- C2C/W2,Mid-Senior level
811,Pottery Barn,Product Copy Manager - Pottery Barn,Mid-Senior level
812,Remi,Product Manager,Entry level
813,Fi,Founding Product Manager,Not Applicable
814,Elucid,Product Manager,Mid-Senior level
815,Addition+,Technical Product Manager,Not Applicable
816,eBacon,Product Manager,Mid-Senior level
817,Meta,Product Manager,Not Applicable
818,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
819,Warner Bros. Games,Product Manager,Entry level
820,Rise25,Product Manager (Remote),Mid-Senior level
821,Accroid Inc,Product Manager,Mid-Senior level
822,Experfy,Product Manager,Mid-Senior level
823,haku,Product Manager,Mid-Senior level
824,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
825,Steneral Consulting,Product Manager,Mid-Senior level
826,PSRTEK,Product Manager - Remote,Mid-Senior level
827,Gap Inc.,Product Manager,Entry level
828,snipeHIRE,Product Manager,Mid-Senior level
829,CallRail,Product Manager,Entry level
830,IntelliPro,Product Manager,Mid-Senior level
831,Courier Health,Product Manager,Entry level
832,Insight Global,Product Manager,Mid-Senior level
833,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
834,Hebbia AI,Product Manager,Entry level
835,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
836,Western Union,Product Manager - B2C Payments,Mid-Senior level
837,Rightworks,Product Manager,Entry level
838,SNIPEBRIDGE,Product Manager,Entry level
839,CallRail,Product Manager,Entry level
840,Belmont Lavan,Product Manager,Mid-Senior level
841,CVS Health,Product Manager,Entry level
842,Remi,Product Manager,Entry level
843,OLIPOP PBC,Sr. E-commerce Product Manager,Mid-Senior level
844,Rightworks,Product Manager,Entry level
845,InvestCloud Financial Supermarket™ (formerly Tegra118),Product Manager,Entry level
846,MeetKai Inc.,Product Manager - MeetKai Metaverse - REMOTE,Mid-Senior level
847,Alldus,"Product Manager, Buyer Experience",Mid-Senior level
848,Advantis Global,Technical Product Manager,Mid-Senior level
849,WalletConnect,Product Manager - Web3Modal,Mid-Senior level
850,Warner Bros. Games,Product Manager,Entry level
851,Steneral Consulting,Product Manager,Mid-Senior level
852,Alldus,"Product Manager, Search & Discovery",Mid-Senior level
853,M3 USA,Product Manager (Remote),Mid-Senior level
854,snipeHIRE,Product Manager,Mid-Senior level
855,Meta,Product Manager,Not Applicable
856,Harnham,Product Manager,Mid-Senior level
857,LHH,Product Manager,Mid-Senior level
858,Signant Health,Product Manager - Product Management,Mid-Senior level
859,Experfy,Product Manager,Mid-Senior level
860,Roku Inc.,"Product Manager, Roku Ad Manager",Mid-Senior level
861,"FUJIFILM Sonosite, Inc.",Junior Product Manager,Entry level
862,Producto,Senior Product Manager - Consumer,Mid-Senior level
863,Steneral Consulting,Product Manager,Mid-Senior level
864,Barclays,Product Manager,Mid-Senior level
865,TikTok,Product Manager - TikTok Creative & Ecosystem,Not Applicable
866,LinkedIn,"Product Manager, Go-to-Market Technology – Data Foundations",Not Applicable
867,LHH,Product Manager,Mid-Senior level
868,Bodybuilding.com,Jr. Graphic Designer,Entry level
869,E.L.F. BEAUTY,"Designer, Print and Digital",Associate
870,JBC,Freelance Graphic Designer,Associate
871,Bath & Body Works,Graphic Designer,Associate
872,Eataly,Corporate Graphic Designer,Entry level
873,Clarity Recruiting,Graphic Designer,Mid-Senior level
874,Exchange LA,Junior Graphic Designer,Full-Time
875,Nestlé,Graphic Designer,Associate
876,Peter Millar,Jr. Graphic Designer,Entry level
877,Canoo,Graphic Designer,Entry level
878,CHAOS Industries,Graphic Designer,Entry level
879,Gopuff,"Graphic Designer, Brand Marketing",Entry level
880,Panasonic Connect North America,Graphic Designer,Entry level
881,Panasonic Connect North America,Graphic Designer,Entry level
882,Ana Luisa,Mid-Level Graphic Designer,Not Applicable
883,Marquee Health,Junior Graphic Designer,Full-Time
884,First Entertainment Credit Union,Jr. Graphic Designer,Not Applicable
885,"Harry's, Inc.",Mando Graphic Designer (Lume),Entry level
886,Universal Processing LLC,Junior Graphic Designer,Entry level
887,BuildingLink,Graphic Designer,Entry level
888,NoGood,Creative Designer,Mid-Senior level
889,Friends of The Underline,Graphic Designer,Full-Time
890,Dawson,Print/Digital Designer,Associate
891,MashPoint - Technology & Staffing,Graphic Designer,Mid-Senior level
892,Breeze Canna,Graphic Designer,Full-Time
893,Studio Ma,Graphic Designer,Full-Time
894,Bogopa Service Corp/ Food Bazaar Supermarket,Graphic Designer,Entry level
895,"Fud, Inc.",Freelance Graphic Design Side Hustler,Entry level
896,"Miranda Creative, Inc.",Graphic Designer,Associate
897,imogene + willie,Graphic Designer,Associate
898,Marquee Health,Junior Graphic Designer,Full-Time
899,Arrowmac,Graphic Designer,Associate
900,First Entertainment Credit Union,Jr. Graphic Designer,Not Applicable
901,Comrise,Graphic Designer - Hybrid,Mid-Senior level
902,"Stride, Inc.",Graphic Designer (Remote),Entry level
903,Hawthorn Innovations,Graphic Designer,Full-Time
904,Tennis Channel,Graphic Designer - Part-time Freelance,Entry level
905,Universal Processing LLC,Junior Graphic Designer,Entry level
906,MashPoint - Technology & Staffing,Graphic Designer,Mid-Senior level
907,Bogopa Service Corp/ Food Bazaar Supermarket,Graphic Designer,Entry level
908,Hancock Advertising Group,Graphic Designer,Entry level
909,Montani Consulting ,Graphic Designer,Entry level
910,Chipotle Mexican Grill,"Assistant Brand Manager, Brand Marketing and Gift Cards",Not Applicable
911,UNIQLO,Marketing Manager,Entry level
912,Starbucks,"marketing manager, US Retail Marketing (Remote)",Not Applicable
913,Ralph Lauren,Social Marketing & Content Strategy Manager,Mid-Senior level
914,Google,"Brand Media Marketing Manager, Google Cloud",Not Applicable
915,Red Bull,"Manager, Brand Marketing",Mid-Senior level
916,PUMA Group,"Manager, Brand Marketing (Temporary)",Associate
917,NARS Cosmetics,"NARS, Manager, Brand Marketing (New York)",Mid-Senior level
918,Coty,"VIP, Senior Marketing Manager",Not Applicable
919,Chipotle Mexican Grill,Brand Manager,Not Applicable
920,Coty,"Brand Manager, Global Marketing, Color",Not Applicable
921,sweetgreen,Director of Marketing,Director
922,TikTok,"Product Marketing Manager, Planning and Activation Coordination",Not Applicable
923,Tarte Cosmetics,Senior Manager Brand Marketing,Mid-Senior level
924,"Glossier, Inc.",Brand and Product Marketing Manager - Fragrance,Entry level
925,Coty,Senior Marketing Manager,Not Applicable
926,Google,"Marketing Manager, Ads Marketing Analytics",Not Applicable
927,Google,"Brand Media Marketing Manager, Google Cloud",Not Applicable
928,Lyft,Product Marketing Manager,Mid-Senior level
929,Curology,"Associate Brand Manager, Agency (6-month-contract)",Mid-Senior level
930,alice + olivia,Integrated Marketing Manager,Mid-Senior level
931,Coty,Senior Brand Manager Global,Not Applicable
932,Meta,Consumer Product Marketing Manager,Not Applicable
933,Parade,Community Marketing Manager,Mid-Senior level
934,Spritz,Director of Marketing,Full-Time
935,The Keller Group,Marketing Manager,Mid-Senior level
936,Sol de Janeiro,Retail Marketing Manager,Mid-Senior level
937,The Cake,Senior Marketing Manager,Mid-Senior level
938,Harmless Harvest,Senior Associate Brand Manager,Mid-Senior level
939,Eclipse Foods,Brand Manager,Full-Time
940,The Little Nell,Director of Brand Marketing - The Little Nell,Director
941,Tail Activewear,Marketing Manager - Apparel,Full-Time
942,"Signature, Inc.",Associate Brand Manager,Entry level
943,Parfums Christian Dior,"Director, Fragrance Marketing",Director
944,Simple Mills,"Senior Brand Manager, Innovation Marketing",Mid-Senior level
945,Harvest Hosts,Lifecycle Marketing Manager,Mid-Senior level
946,TechInsights,Marketing Manager,Mid-Senior level
947,The Estée Lauder Companies Inc.,"Assistant Manager, Product Marketing - Clinique",Not Applicable
948,Spritz,Director of Marketing,Full-Time
949,The Keller Group,Marketing Manager,Mid-Senior level
950,Sol de Janeiro,Retail Marketing Manager,Mid-Senior level
951,Industrial Color,Marketing Manager,Mid-Senior level
952,Harmless Harvest,Senior Associate Brand Manager,Mid-Senior level
953,Eclipse Foods,Brand Manager,Full-Time
954,Tail Activewear,Marketing Manager - Apparel,Full-Time
955,The Little Nell,Director of Brand Marketing - The Little Nell,Director
956,Parfums Christian Dior,"Vice President, Skincare Marketing",Executive
957,"Signature, Inc.",Associate Brand Manager,Entry level
958,Empathy,Marketing Manager,Associate
959,Money20/20,Marketing Manager - Sponsorship,Associate
960,The Estée Lauder Companies Inc.,"Assistant Manager, Product Marketing - Clinique",Not Applicable
961,Shake Shack,"Senior Manager, Brand Communications",Mid-Senior level
962,Sol de Janeiro,Retail Marketing Manager,Mid-Senior level
963,The Cake,Senior Marketing Manager,Mid-Senior level
964,Harmless Harvest,Senior Associate Brand Manager,Mid-Senior level
965,Eclipse Foods,Brand Manager,Full-Time
966,The Little Nell,Director of Brand Marketing - The Little Nell,Director
967,Parfums Christian Dior,"Vice President, Skincare Marketing",Executive
968,Empathy,Marketing Manager,Associate
969,Parfums Christian Dior,"Director, Fragrance Marketing",Director
970,Money20/20,Marketing Manager - Sponsorship,Associate
971,TechInsights,Marketing Manager,Mid-Senior level
972,Golden West Food Group,Brand Manager,Mid-Senior level
973,Worldly,Marketing Campaign Manager,Mid-Senior level
974,Meta,Consumer Product Marketing Manager,Not Applicable
975,Johnson & Johnson,"Marketing Manager - (Irvine, California)- Mentor Worldwide LLC",Not Applicable
976,Lyft,Product Marketing Manager,Mid-Senior level
977,NARS Cosmetics,"NARS, Manager, Brand Marketing (New York)",Mid-Senior level
978,The World Pickleball Tour,Marketing Manager,Full-Time
979,Wellness Pet Company,Associate Brand Manager,Mid-Senior level
980,Grateful Giving,Senior Marketing Manager for Nonprofit Tech Startup,Full-Time
981,Coty,"VIP, Senior Marketing Manager",Not Applicable
982,WellMore Holdings,Brand Manager (Raw Sugar Living),Mid-Senior level
983,Four Seasons Hotels and Resorts,Digital Marketing Manager,Not Applicable
984,Accor,Director of Marketing,Director
985,Google,"Brand Media Marketing Manager, Google Cloud",Not Applicable
986,Simple Mills,"Senior Brand Manager, Innovation Marketing",Mid-Senior level
987,Meta,Consumer Product Marketing Manager,Not Applicable
988,SH Hotels & Resorts,Senior Vice President Brand Marketing,Executive
989,Nayya,Content Marketing Manager,Mid-Senior level
990,Meta,Marketing Insights Manager - Business,Not Applicable
991,The Cake,Senior Marketing Manager,Mid-Senior level
992,The Little Nell,Director of Brand Marketing - The Little Nell,Director
993,Harvest Hosts,Lifecycle Marketing Manager,Mid-Senior level
994,The Honest Company,Brand Manager (Baby + Home),Mid-Senior level
995,Caden,Director of Marketing,Director
996,Banza,Brand Marketing Manager,Full-Time
997,Google,"Brand Media Marketing Manager, Google Cloud",Not Applicable
998,Chipotle Mexican Grill,Brand Manager,Not Applicable
999,The HEINEKEN Company,Brand Manager,Mid-Senior level
1000,Accor,Marketing Manager,Associate
1001,Curology,"Associate Brand Manager, Agency (6-month-contract)",Mid-Senior level
1002,Netflix,"Marketing Manager, External Games",Not Applicable
1003,LinkedIn,Sr. Creator Channel Marketing Manager,Not Applicable
1004,Coty,"Brand Manager, Global Marketing, Color",Not Applicable
1005,eos Products,"Manager, Product Marketing & Innovation",Mid-Senior level
1006,"Glossier, Inc.",Brand and Product Marketing Manager - Fragrance,Entry level
1007,TikTok,"Product Marketing Manager, Planning and Activation Coordination",Not Applicable
1008,Banza,Brand Marketing Manager,Mid-Senior level
