,company,job-title,level
1372,Barstool Sports,"Account Manager, Chicago",Entry level
1373,Congo Brands,Director of Sales (C-Store),Director
1374,Davalyn Corporation,Sales Director,Director
1375,Ventura Foods,"Regional Sales Manager II - Midwest (IL, IN, MN, MO, WI)",Mid-Senior level
1376,CV Resources,National Account Manager,Mid-Senior level
1377,Swatch Group,Regional Sales Manager,Associate
1378,Boostlingo,Director of Sales And Business Development,Associate
1379,The Keller Group,Regional Sales Manager,Mid-Senior level
1380,Magic Spoon,Director of Sales Strategy & Planning,Director
1381,Kia America,District Sales Manager,Mid-Senior level
1382,Delta Galil Industries,Director of Sales - Women's Apparel,Director
1383,Davalyn Corporation,Sales Director,Director
1384,"Medical Careers, Inc.",Regional Sales Manager,Mid-Senior level
1385,"Medical Careers, Inc.",Regional Sales Manager,Mid-Senior level
1386,DSI Recruiting Services,B2B Sales Manager - Food industry,Full-Time
1387,Milan Laser Hair Removal,Sales Manager,Entry level
1388,Karma and Luck,National Sales Training Manager,Full-Time
1389,Bosch USA,Sales Development Manager,Associate
1390,EchoPark Automotive,General Sales Manager - Head of Sales,Mid-Senior level
1391,Cruz Foam,Senior Director/VP of Sales,Not Applicable
1392,"Del Monte Foods, Inc.",Regional Sales Manager Foodservice - West,Mid-Senior level
1393,Milan Laser Hair Removal,Sales Manager,Entry level
1394,Total Beverage Solution,New York Beer Account Sales Manager,Not Applicable
1395,Mad,Account Manager,Mid-Senior level
1396,Sanhua International USA,Key Account Manager,Mid-Senior level
1397,Milan Laser Hair Removal,Sales Manager,Entry level
1398,Packard Culligan Water,Area Sales Manager,Mid-Senior level
1399,Health-Ade,"Director of Sales, Mass & Value Channels",Director
1400,Barstool Sports,"Account Manager, Chicago",Entry level
1401,Congo Brands,Director of Sales (C-Store),Director
1402,Swatch Group,Regional Sales Manager,Associate
1403,Boostlingo,Director of Sales And Business Development,Associate
1404,The Keller Group,Regional Sales Manager,Mid-Senior level
1405,Magic Spoon,Director of Sales Strategy & Planning,Director
1406,Davalyn Corporation,Sales Director,Director
1407,Swatch Group,Regional Sales Manager,Associate
1408,Milan Laser Hair Removal,Sales Manager,Entry level
1409,Karma and Luck,National Sales Training Manager,Full-Time
1410,Stony Brook University,Regional Sales Manager,Mid-Senior level
1411,Jamaica Bearings Group (JBG),Regional Sales Manager - Aerospace Division - West Coast,Mid-Senior level
1412,"Mass. Bay Brewing Company, Inc.",Regional Sales Manager – Midwest Region,Mid-Senior level
1413,EchoPark Automotive,General Sales Manager - Head of Sales,Mid-Senior level
1414,Cruz Foam,Senior Director/VP of Sales,Not Applicable
1415,Dole Sunshine Company,"Regional Sales Manager, Private Label",Mid-Senior level
1416,"Del Monte Foods, Inc.",Regional Sales Manager Foodservice - West,Mid-Senior level
1417,YER USA,Sales Manager East,Mid-Senior level
1418,Milan Laser Hair Removal,Sales Manager,Entry level
1419,Skout's Honor®,National Sales Manager,Mid-Senior level
1420,Mad,Account Manager,Mid-Senior level
